-----------------------------------------------------------------------------
   PRES   HGHT   TEMP   DWPT   RELH   MIXR   DRCT   SKNT   THTA   THTE   THTV
    hPa     m      C      C      %    g/kg    deg   knot     K      K      K 
-----------------------------------------------------------------------------
 1001.0      2   21.0   16.6     76  12.01    150      8  294.1  328.6  296.2
 1000.0      8   20.8   16.4     76  11.87    155     10  293.9  328.1  296.1
  984.0    147   19.6   15.8     79  11.63    165     21  294.1  327.6  296.2
  963.0    333   18.0   15.1     83  11.33    178     26  294.3  326.9  296.3
  935.0    586   17.8   10.3     61   8.49    195     33  296.6  321.5  298.1
  932.0    614   17.8    9.8     59   8.22    196     33  296.9  321.0  298.3
  925.0    678   17.4    9.4     59   8.06    200     33  297.1  320.8  298.5
  914.0    780   16.8    8.7     59   7.76    210     35  297.5  320.4  298.9
  879.0   1111   14.9    6.3     56   6.84    220     45  298.8  319.2  300.1
  850.0   1396   13.2    4.2     54   6.12    230     41  300.0  318.4  301.1
  826.0   1636   11.8   -1.2     40   4.26    234     36  300.9  314.1  301.7
  823.0   1666   11.5   -1.2     41   4.29    235     35  301.0  314.2  301.8
  806.0   1837   10.0   -0.9     46   4.45    225     35  301.1  314.8  302.0
  764.0   2277    6.1   -0.4     63   4.89    230     35  301.5  316.5  302.4
  720.0   2763    1.7    0.2     90   5.43    220     43  301.9  318.5  302.9
  715.0   2821    1.2    0.3     94   5.50    219     42  301.9  318.7  302.9
  700.0   2991   -0.1   -1.2     92   5.03    215     41  302.3  317.8  303.3
  692.0   3082   -0.9   -2.2     91   4.73    210     39  302.5  317.1  303.4
  665.0   3398   -3.5   -5.7     85   3.79    220     35  303.0  314.8  303.7
  643.0   3666   -5.7   -8.6     80   3.12    225     40  303.4  313.3  304.0
  636.0   3751   -6.9   -7.1     98   3.55    227     41  303.0  314.1  303.6
  633.0   3788   -6.1  -14.1     53   2.04    227     42  304.3  310.9  304.7
  625.0   3888   -5.7  -19.7     32   1.29    229     43  305.9  310.2  306.1
  602.0   4178   -7.7  -27.4     19   0.68    235     49  306.9  309.3  307.1
  564.0   4681  -11.1  -40.7      7   0.19    230     52  308.7  309.4  308.7
  534.0   5103  -13.9  -51.9      2   0.06    230     43  310.1  310.4  310.2
  520.0   5304  -15.4  -52.7      3   0.06    230     39  310.7  310.9  310.7
  514.0   5392  -16.1  -53.1      3   0.05    229     42  310.9  311.1  310.9
  500.0   5600  -16.9  -56.9      2   0.03    225     49  312.4  312.5  312.4
  449.0   6400  -20.9  -50.9      5   0.08    227     51  317.1  317.4  317.1
  405.0   7151  -27.5  -55.5      5   0.05    230     54  318.0  318.2  318.0
  400.0   7240  -27.9  -54.9      6   0.06    230     54  318.6  318.9  318.7
  361.0   7969  -32.1  -55.1      8   0.06    234     66  322.5  322.8  322.5
  350.0   8186  -33.3  -49.3     19   0.12    235     70  323.8  324.2  323.8
  347.0   8247  -33.7  -39.7     55   0.35    235     71  324.0  325.4  324.1
  338.0   8430  -34.9  -39.9     60   0.35    236     74  324.8  326.2  324.9
  334.0   8513  -35.5  -43.5     44   0.24    236     75  325.1  326.1  325.1
  333.0   8534  -35.5  -51.5     18   0.10    236     75  325.4  325.8  325.4
  320.0   8809  -37.5  -46.5     39   0.18    238     80  326.3  327.1  326.4
  314.0   8939  -38.7  -50.7     27   0.12    238     82  326.4  326.9  326.4
  300.0   9250  -41.5  -45.8     63   0.21    240     87  326.8  327.6  326.8
  297.0   9318  -41.9  -45.7     66   0.22    240     88  327.1  328.0  327.2
  271.0   9930  -47.4  -50.9     67   0.13    240     93  327.8  328.4  327.9
  266.0  10054  -48.5  -51.9     68   0.12    238     92  328.0  328.5  328.0
  262.0  10154  -49.3  -54.2     56   0.09    236     91  328.2  328.6  328.2
  253.0  10382  -50.7  -60.7     30   0.04    231     88  329.4  329.6  329.4
  250.0  10460  -51.1  -61.1     29   0.04    230     87  330.0  330.1  330.0
  229.0  11027  -53.2  -69.4     12   0.01    225     80  335.1  335.1  335.1
  223.0  11198  -53.9  -71.9      9   0.01    230     78  336.6  336.7  336.6
  218.0  11345  -53.2  -73.5      7   0.01    235     74  339.9  339.9  339.9
  210.0  11586  -52.1  -76.1      4   0.01    243     60  345.3  345.3  345.3
  208.0  11647  -52.5  -76.7      4   0.01    245     56  345.6  345.6  345.6
  200.0  11900  -54.1  -79.1      3   0.00    245     47  346.9  347.0  346.9
  192.0  12161  -55.1  -81.5      2   0.00    240     37  349.4  349.4  349.4
  189.0  12261  -55.5  -82.5      2   0.00    235     39  350.3  350.4  350.3
  180.0  12573  -55.0  -84.4      1   0.00    230     51  356.1  356.1  356.1
  176.0  12717  -54.7  -85.3      1   0.00    235     54  358.8  358.9  358.8
  155.0  13529  -53.3  -90.3      0   0.00    253     49  374.5  374.5  374.5
  153.0  13613  -53.4  -90.4      0   0.00    255     49  375.8  375.8  375.8
  150.0  13740  -53.5  -90.5      0   0.00    260     43  377.7  377.7  377.7
  147.0  13869  -54.2  -90.8      0   0.00    260     35  378.7  378.7  378.7
  142.0  14090  -55.3  -91.4      0   0.00    240     29  380.5  380.5  380.5
  137.0  14318  -56.5  -92.0      0   0.00    225     33  382.3  382.3  382.3
  133.0  14507  -57.5  -92.5      0   0.00    230     39  383.8  383.8  383.8
  129.0  14702  -55.8  -91.4      0   0.00    255     27  390.2  390.2  390.2
  126.0  14851  -54.5  -90.5      0   0.00    255     20  395.2  395.2  395.2
  125.0  14902  -54.7  -90.7      0   0.00    255     17  395.7  395.7  395.7
  123.0  15005  -55.1  -91.0      0   0.00    235     19  396.7  396.7  396.7
  116.0  15377  -56.8  -92.0      0   0.00    250     33  400.5  400.5  400.5
  112.0  15601  -57.7  -92.7      0   0.00    252     32  402.7  402.7  402.7
  105.0  16010  -56.5  -92.0      0   0.00    255     31  412.6  412.6  412.6
  100.0  16320  -55.5  -91.5      0   0.00    250     16  420.2  420.2  420.2
   98.0  16447  -55.7  -91.6      0   0.00    230     12  422.3  422.3  422.3
   95.0  16644  -55.9  -91.8      0   0.00    240     12  425.6  425.6  425.6
   90.0  16985  -56.4  -92.1      0   0.00    225     12  431.3  431.3  431.3
   84.0  17420  -57.0  -92.5      0   0.00    260     16  438.7  438.7  438.7
   81.0  17649  -57.3  -92.7      0   0.00    250     14  442.7  442.7  442.7
   78.0  17887  -57.6  -92.9      0   0.00    260     10  446.8  446.8  446.8
   74.0  18219  -58.0  -93.2      0   0.00    195     10  452.6  452.6  452.6
   71.0  18481  -58.4  -93.4      0   0.00    245     16  457.3  457.3  457.3
   70.0  18570  -58.5  -93.5      0   0.00    245     14  458.9  458.9  458.9
   68.0  18753  -58.8  -93.8      0   0.00    230     12  462.0  462.0  462.0
   65.0  19037  -59.3  -94.3      0   0.00    260     12  466.9  466.9  466.9
   64.1  19125  -59.5  -94.5      0   0.00    253     11  468.4  468.4  468.4
   58.0  19755  -59.2  -94.2      0   0.00    205     10  482.7  482.7  482.7
   56.0  19976  -59.1  -94.1      0   0.00    245     12  487.8  487.8  487.8
   51.0  20565  -58.8  -93.8      0   0.00      0      0  501.7  501.7  501.7
   50.0  20690  -58.7  -93.7      0   0.00    195      8  504.7  504.7  504.7
   49.0  20817  -58.8  -93.8      0   0.00    210     10  507.3  507.3  507.3
   47.0  21078  -59.1  -94.1      0   0.00    215     10  512.7  512.7  512.7
   42.3  21739  -59.9  -94.9      0   0.00    272      6  526.5  526.5  526.5
   36.0  22758  -57.8  -93.3      0   0.00      0      0  556.6  556.6  556.6
   33.0  23308  -56.7  -92.4      0   0.00    105     10  573.6  573.6  573.6
   32.0  23502  -56.3  -92.1      0   0.00    125     10  579.7  579.7  579.7
   30.0  23910  -55.5  -91.5      0   0.00    140      4  592.7  592.8  592.7
   29.0  24127  -55.2  -91.3      0   0.00     95     10  599.5  599.5  599.5
   28.0  24351  -54.8  -91.0      0   0.00    135     16  606.5  606.5  606.5
   27.0  24584  -54.4  -90.8      0   0.00    140     12  613.9  613.9  613.9
   26.0  24826  -54.0  -90.5      0   0.00    170     12  621.6  621.6  621.6
   25.0  25077  -53.7  -90.3      0   0.00    115      8  629.7  629.8  629.7
   24.0  25338  -53.2  -90.0      0   0.01    105     10  638.3  638.4  638.3
   23.0  25610  -52.8  -89.7      0   0.01    125     14  647.4  647.5  647.4
   22.3  25808  -52.5  -89.5      0   0.01    101     14  654.1  654.1  654.1
   22.0  25895  -52.6  -89.7      0   0.01     90     14  656.2  656.2  656.2
   21.1  26164  -53.1  -90.1      0   0.01     99     17  662.7  662.7  662.7
